,BSH_Enzyme,Inhibitor,Bile_Acid,Run,Replicate,log2_concentration,fitted_values_7,fitted_se_7,ci_lwr_7,ci_upr_7,enzyme_baseline_7,inhibitor_baseline_7,enzyme_inhibitor_interaction_7,inhibitor_potency_7,enzyme_bileacid_interaction_7,fitted_values_9,fitted_se_9,ci_lwr_9,ci_upr_9,enzyme_baseline_9,enzyme_bileacid_interaction_9,enzyme_inhibitor_interaction_9,enzyme_inhibitor_bileacid_interaction_9,inhibitor_potency_9,Protein_Molecular_Weight,Protein_Aromaticity,Protein_Instability_Index,Protein_Isoelectric_Point,Protein_GRAVY,Protein_AA_Percent_A,Protein_AA_Percent_C,Protein_AA_Percent_D,Protein_AA_Percent_E,Protein_AA_Percent_F,Protein_AA_Percent_G,Protein_AA_Percent_H,Protein_AA_Percent_I,Protein_AA_Percent_K,Protein_AA_Percent_L,Protein_AA_Percent_M,Protein_AA_Percent_N,Protein_AA_Percent_P,Protein_AA_Percent_Q,Protein_AA_Percent_R,Protein_AA_Percent_S,Protein_AA_Percent_T,Protein_AA_Percent_V,Protein_AA_Percent_W,Protein_AA_Percent_Y,Protein_Organism,Inhibitor_IP_Conc,Inhibitor_Complexity,Inhibitor_H_Bond_Acceptor,Inhibitor_H_Bond_Donor,Inhibitor_Rotatable_Bonds,Inhibitor_Molecular_Weight,Inhibitor_Polar_Surface_Area,Bile_complexity,Bile_h_bond_acceptor,Bile_h_bond_donor,Bile_rotatable_bonds,Bile_molecular_weight,Bile_polar_surface_area
10,1011c,CAC,GLCA,Run 2,2,0.168976172048763,0.496966015956195,0.734908570905107,-0.987022449479275,1.89381914846874,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,4.79064537774658,-0.25126021755859,1.3751124252257,-2.80060656490892,2.58983414197581,2.21796608396708,5.75689650937282,-3.70172478904103,-3.96278403200838,-3.96278403200838,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,695.0,4,3,6,433.6,86.6
11,1011c,CAC,GLCA,Run 2,3,1.88752527074159,0.624546620368532,0.746332061952575,-0.848185503778459,2.07743617907564,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,4.79064537774658,-0.0648262855612155,1.39652502220049,-2.70687573024695,2.76750235677897,2.21796608396708,5.75689650937282,-3.70172478904103,-3.96278403200838,-3.96278403200838,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,695.0,4,3,6,433.6,86.6
12,1011c,CAC,GUDCA,Run 2,1,0.636890292765017,-0.25487610540867,0.751367454663561,-1.76331304192704,1.18204738035412,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,0.0517224764312709,0.127055876139612,1.16804492247331,-2.30039038262542,2.27834571346996,2.21796608396708,1.10764539510183,-3.70172478904103,7.24396020103971,7.24396020103971,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,727.0,5,4,6,449.6,107.0
13,1011c,CAC,GUDCA,Run 2,2,-0.150917952332673,-0.322405887513108,0.750863188734598,-1.81373795974528,1.12964574009434,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,0.0517224764312709,0.0319819675632392,1.18704110590275,-2.36797203056258,2.28522910457621,2.21796608396708,1.10764539510183,-3.70172478904103,7.24396020103971,7.24396020103971,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,727.0,5,4,6,449.6,107.0
14,1011c,CAC,GUDCA,Run 2,3,0.076102979085792,-0.194825283100771,0.744333621450542,-1.69492921273362,1.2228585833525,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,0.0517224764312709,0.218415899560614,1.18328430337498,-2.2010516196345,2.43742284959544,2.21796608396708,1.10764539510183,-3.70172478904103,7.24396020103971,7.24396020103971,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,727.0,5,4,6,449.6,107.0
15,1011c,CAC,TCA,Run 2,1,-0.0672107388252373,0.270272899739412,0.738683369838312,-1.2014876569535,1.69415115281268,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,1.75935188388804,0.965798726188409,1.16458356593915,-1.13932512201068,3.42584245647078,2.21796608396708,2.2251894222283,-3.70172478904103,3.19645764863903,3.19645764863903,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,83.4,2,1,0,163.38,37.3
16,1011c,CAC,TCA,Run 2,2,0.956705577400612,0.202743117634973,0.724906098018887,-1.23298471440411,1.60864718982993,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,1.75935188388804,0.870724817612036,1.16258603733575,-1.22804818462683,3.32928908172932,2.21796608396708,2.2251894222283,-3.70172478904103,3.19645764863903,3.19645764863903,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,83.4,2,1,0,163.38,37.3
17,1011c,CAC,TCA,Run 2,3,1.80877496182378,0.33032372204731,0.723482033585806,-1.12000077513554,1.71604879652083,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,1.75935188388804,1.05715874960941,1.1720395603766,-1.14378437149062,3.45061070518565,2.21796608396708,2.2251894222283,-3.70172478904103,3.19645764863903,3.19645764863903,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,83.4,2,1,0,163.38,37.3
18,1011c,CAC,TCDCA,Run 2,1,0.435696125197716,0.815536798928973,0.756188099278318,-0.751107760402412,2.21314958876859,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,2.11765864389679,0.657399416722741,1.28430868663701,-1.8353723624355,3.1991176891816,2.21796608396708,1.88389344433436,-3.70172478904103,1.7439068242783,1.7439068242783,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,858.0,6,4,7,499.7,132.0
19,1011c,CAC,TCDCA,Run 2,2,0.623245155090802,0.748007016824535,0.760818112958593,-0.836183482610159,2.14622352018753,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,2.11765864389679,0.562325508146368,1.27722644923909,-1.83213169456708,3.17459598645017,2.21796608396708,1.88389344433436,-3.70172478904103,1.7439068242783,1.7439068242783,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,858.0,6,4,7,499.7,132.0
20,1011c,CAC,TCDCA,Run 2,3,0.854779256946686,0.875587621236871,0.753326809964482,-0.68335789741358,2.26968319764719,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,2.11765864389679,0.748759440143743,1.26244437405973,-1.67760804586397,3.27117390045018,2.21796608396708,1.88389344433436,-3.70172478904103,1.7439068242783,1.7439068242783,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,858.0,6,4,7,499.7,132.0
21,1011c,CAC,TDCA,Run 2,1,-1.51835429173002,1.38311777687269,0.760433453466966,-0.159249226936914,2.82164991065359,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,2.44235328329156,0.233994082803451,1.33182054291359,-2.50129521839842,2.71944130982286,2.21796608396708,2.55352942342013,-3.70172478904103,3.27766634895706,3.27766634895706,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,858.0,6,4,7,499.7,132.0
22,1011c,CAC,TDCA,Run 2,2,1.29324534018328,1.31558799476825,0.739146784155903,-0.167230651227016,2.73022474266412,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,2.44235328329156,0.138920174227079,1.31155246365702,-2.54666092922584,2.59462472830966,2.21796608396708,2.55352942342013,-3.70172478904103,3.27766634895706,3.27766634895706,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,858.0,6,4,7,499.7,132.0
23,1011c,CAC,TDCA,Run 2,3,1.0432915629113,1.44316859918059,0.740004792312383,-0.0039478176879145,2.89687096817663,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,2.44235328329156,0.325354106224453,1.31593903866623,-2.4224631049308,2.73601792664083,2.21796608396708,2.55352942342013,-3.70172478904103,3.27766634895706,3.27766634895706,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,858.0,6,4,7,499.7,132.0
24,1011c,CAC,TLCA,Run 2,1,-2.14367036067144,1.41797446072963,0.730369581138649,-0.0598023902486765,2.80324636781483,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,4.6474853102006,2.33671981631947,1.18964243931505,0.169687574632963,4.83308593674797,2.21796608396708,4.87429569446218,-3.70172478904103,6.14125483986224,6.14125483986225,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,825.0,5,3,7,483.7,112.0
25,1011c,CAC,TLCA,Run 2,2,4.14167338867759,1.35044467862519,0.728370733701467,-0.117721413181013,2.73749186292874,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,4.6474853102006,2.2416459077431,1.20479600793152,-0.0205266447715833,4.70227370631998,2.21796608396708,4.87429569446218,-3.70172478904103,6.14125483986224,6.14125483986225,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,825.0,5,3,7,483.7,112.0
26,1011c,CAC,TLCA,Run 2,3,4.49851682661069,1.47802528303753,0.728743667558905,0.0362143177286618,2.89288949455957,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,4.6474853102006,2.42807983974047,1.17249785007916,0.18678709893799,4.78297867124831,2.21796608396708,4.87429569446218,-3.70172478904103,6.14125483986224,6.14125483986225,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,825.0,5,3,7,483.7,112.0
27,1011c,CAC,TUDCA,Run 2,1,0.332685089708516,0.911049673336903,0.746208958026945,-0.60374973280858,2.32138938265705,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,0.624689646963009,1.18788063828202,1.29545890928942,-1.48488841179977,3.59331051261474,2.21796608396708,8.22299025417329,-3.70172478904103,1.32778381524347,1.32778381524347,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,858.0,6,4,7,499.7,132.0
28,1011c,CAC,TUDCA,Run 2,2,1.27423361631365,0.843519891232465,0.73109360827675,-0.645065095386806,2.22082184905805,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,0.624689646963009,1.09280672970565,1.28827770784984,-1.56630202374158,3.48374659102979,2.21796608396708,8.22299025417329,-3.70172478904103,1.32778381524347,1.32778381524347,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,858.0,6,4,7,499.7,132.0
29,1011c,CAC,TUDCA,Run 2,3,1.94565516684176,0.971100495644802,0.727868483578902,-0.507214448186465,2.34603000744283,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,0.624689646963009,1.27924066170302,1.29918752346564,-1.3770802556402,3.71573483634512,2.21796608396708,8.22299025417329,-3.70172478904103,1.32778381524347,1.32778381524347,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,858.0,6,4,7,499.7,132.0
30,1011c,CAPE,GCA,Run 2,1,-0.304960269601498,1.32016864881056,0.813183736915206,-0.24659261070204,2.94108763800557,3.11285483103175,-6.48691876072403,-0.865832032948417,3.97868686398017,1.24822746031924,0.807421342565661,1.3614722600431,-1.50643475702323,3.83053650234573,2.21796608396708,4.85308689284523,-4.33170009663352,3.83141539556997,3.83141539556997,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,347.0,4.0,2.0,6.0,284.31,66.8,772.0,7,4,6,464.6,133.0
31,1011c,CAPE,GCA,Run 2,2,2.14700241238668,1.25263886670612,0.800025678656582,-0.301851428419419,2.83424923191438,3.11285483103175,-6.48691876072403,-0.865832032948417,3.97868686398017,1.24822746031924,0.712347433989288,1.35326752176738,-1.59393033067418,3.71087835465394,2.21796608396708,4.85308689284523,-4.33170009663352,3.83141539556997,3.83141539556997,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,347.0,4.0,2.0,6.0,284.31,66.8,772.0,7,4,6,464.6,133.0
32,1011c,CAPE,GCA,Run 2,3,0.57705730263581,1.38021947111846,0.792950307187741,-0.170918437637839,2.93744676653811,3.11285483103175,-6.48691876072403,-0.865832032948417,3.97868686398017,1.24822746031924,0.898781365986663,1.38422735797497,-1.47221403755532,3.95395720570656,2.21796608396708,4.85308689284523,-4.33170009663352,3.83141539556997,3.83141539556997,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,347.0,4.0,2.0,6.0,284.31,66.8,772.0,7,4,6,464.6,133.0
33,1011c,CAPE,GCDCA,Run 2,1,3.26052755022322,2.2944442570307,0.749027279625336,0.774469474132887,3.7106564102642,3.11285483103175,-6.48691876072403,-0.865832032948417,3.97868686398017,3.86722455141698,2.78582780283347,1.29952835746968,0.168458245036785,5.26260940631795,2.21796608396708,4.91788609318026,-4.33170009663352,4.28389448494601,4.28389448494601,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,347.0,4.0,2.0,6.0,284.31,66.8,727.0,5,4,6,449.6,107.0
34,1011c,CAPE,GCDCA,Run 2,2,5.63247596192379,2.22691447492626,0.759757054395465,0.712098094365823,3.69034574759604,3.11285483103175,-6.48691876072403,-0.865832032948417,3.97868686398017,3.86722455141698,2.6907538942571,1.37174432341362,-0.0107782955272324,5.36645945225416,2.21796608396708,4.91788609318026,-4.33170009663352,4.28389448494601,4.28389448494601,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,347.0,4.0,2.0,6.0,284.31,66.8,727.0,5,4,6,449.6,107.0
35,1011c,CAPE,GCDCA,Run 2,3,-0.547487795302494,2.3544950793386,0.743629850532396,0.870426932854471,3.78545594694147,3.11285483103175,-6.48691876072403,-0.865832032948417,3.97868686398017,3.86722455141698,2.87718782625448,1.33930144426373,0.215144620670681,5.46520628218449,2.21796608396708,4.91788609318026,-4.33170009663352,4.28389448494601,4.28389448494601,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,347.0,4.0,2.0,6.0,284.31,66.8,727.0,5,4,6,449.6,107.0
